t_rel,L_cmd_rpm,R_cmd_rpm,L_meas_rpm,R_meas_rpm,L_pos_rev,R_pos_rev,v_target,w_target,v_slewed,w_slewed,v_after_imu,w_after_imu,yaw,yaw_rate,heading_locked,estop
19.277889275,1997.8046875,1733.388916015625,1034.0,623.0,-102.57389831542969,99.21720123291016,1.4892878532409668,-0.11929696798324585,0.6200000047683716,-0.11929696798324585,0.6200000047683716,-0.11929696798324585,0.0,0.0,0.0,0.0
19.29807793,2057.985107421875,1793.5694580078125,1034.0,623.0,-102.57389831542969,99.21720123291016,1.4892878532409668,-0.11929696798324585,0.6399999856948853,-0.11929696798324585,0.6399999856948853,-0.11929696798324585,0.0,0.0,0.0,0.0
19.317960752,2118.165771484375,1853.75,1034.0,623.0,-102.57389831542969,99.21720123291016,1.4892878532409668,-0.11929696798324585,0.6600000262260437,-0.11929696798324585,0.6600000262260437,-0.11929696798324585,0.0,0.0,0.0,0.0
19.337980122,2178.34619140625,1913.9305419921875,1171.0,749.0,-100.28849792480469,100.66940307617188,1.4892878532409668,-0.11929696798324585,0.6800000071525574,-0.11929696798324585,0.6800000071525574,-0.11929696798324585,0.0,0.0,0.0,0.0
19.358105319,2238.52685546875,1974.111083984375,1171.0,749.0,-100.28849792480469,100.66940307617188,1.4892878532409668,-0.11929696798324585,0.699999988079071,-0.11929696798324585,0.699999988079071,-0.11929696798324585,0.0,0.0,0.0,0.0
19.377985421,2294.50048828125,2038.49853515625,1171.0,749.0,-100.28849792480469,100.66940307617188,1.48996102809906,-0.11550085991621017,0.7200000286102295,-0.11550085991621017,0.7200000286102295,-0.11550085991621017,0.0,0.0,0.0,0.0
19.398045529,2354.680908203125,2098.67919921875,1171.0,749.0,-100.28849792480469,100.66940307617188,1.48996102809906,-0.11550085991621017,0.7400000095367432,-0.11550085991621017,0.7400000095367432,-0.11550085991621017,0.0,0.0,0.0,0.0
19.417964224,2414.861572265625,2158.859619140625,1171.0,749.0,-100.28849792480469,100.66940307617188,1.48996102809906,-0.11550085991621017,0.7599999904632568,-0.11550085991621017,0.7599999904632568,-0.11550085991621017,0.0,0.0,0.0,0.0
19.438020811,2474.554443359375,2219.52783203125,1389.0,926.0,-97.59829711914062,102.43099975585938,1.4900376796722412,-0.11506082117557526,0.7799999713897705,-0.11506082117557526,0.7799999713897705,-0.11506082117557526,0.0,0.0,0.0,0.0
19.458041269,2534.73486328125,2279.70849609375,1389.0,926.0,-97.59829711914062,102.43099975585938,1.4900376796722412,-0.11506082117557526,0.800000011920929,-0.11506082117557526,0.800000011920929,-0.11506082117557526,0.0,0.0,0.0,0.0
